object_id,title,alt_text,featured,creator,description,source_url,period,year,medium_genre,subjects,source,credit,thumbnail
id_objeto,titulo,destacado,creador,descripcion,url_fuente,periodo,año,medio_genero,temas,fuente,credito,miniatura,texto_alt
# Make it lower-case and avoid spaces. If you are referring to a local object please ensure the object_id matches the name of the file exactly (with or without the file extension – it doesn't matter).,# Please provide a title — this is required.,"# Describe what the image shows for screen readers. Mention the subject and key details. Avoid ""Image of..."" — describe the content directly. If empty, the title is used.","# Mark ""yes"" to feature on homepage",# The person or organization that created the original object.,"# A brief description of the object, shown on the objects page of your published site.",# Here you can include a IIIF manifest and Telar will do the rest of the work for you.,"# The historical period this object belongs to (e.g. ""Colonial period"", ""19th century"").",# In YYYY format — for filtering and sorting chronologically.,"# The medium or genre of the object (e.g. ""Map"", ""Photograph"", ""Engraving"").",# Comma-separated terms for gallery filtering,"# This will be overlaid over the viewer, unless you specify otherwise in _config.yml.","# Attribution line shown on the published site (e.g. ""Courtesy of UCSB Library"").","# Telar generates thumbnails automatically, but you can override this by specifying an image file in this column."
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, asegúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,"# Describe lo que muestra la imagen para lectores de pantalla. Menciona el sujeto y los detalles clave. Evita ""Imagen de..."" — describe el contenido directamente. Si se deja vacío, se usa el título.","# Marca ""sí"" para destacar en la página de inicio",# La persona u organización que creó el objeto original.,"# Una breve descripción del objeto, que se muestra en la página de objetos de tu sitio publicado.",# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,"# El período histórico al que pertenece este objeto (por ejemplo, ""Período colonial"", ""Siglo XIX"").",# En formato AAAA — para filtrar y ordenar cronológicamente.,"# El medio o género del objeto (por ejemplo, ""Mapa"", ""Fotografía"", ""Grabado"").",# Términos separados por comas para filtrado de galería,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.","# Línea de atribución que se muestra en el sitio publicado (por ejemplo, ""Cortesía de la Biblioteca de UCSB"").","# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
DSC_0128,Moche Stirrup Spout Vessel,,yes,Unknown North Coast Moche Artist,Overview photo taken in Material/Image Research Lab (MIRL) of the vessel.,,Early Intermediate,,Ceramic Vessel,"Moche,Ceramics",,"South America, Peru, North Coast, Moche, “South America, Peru, North Coast, Moche,” UCSB ADA Museum Omeka, accessed June 6, 2026, http://art-collections.museum.ucsb.edu/items/show/15811. ",
DSC_0134,Moche Stirrup Spout Vessel,,yes,Unknown North Coast Moche Artist,Up-close photo of spout damage taken in the Material/Image Research Lab (MIRL) of the vessel.,,Early Intermediate,,Ceramic Vessel,"Moche,Ceramics",,"South America, Peru, North Coast, Moche, “South America, Peru, North Coast, Moche,” UCSB ADA Museum Omeka, accessed June 6, 2026, http://art-collections.museum.ucsb.edu/items/show/15811.",
DSC_0154,Moche Stirrup Spout Vessel,,yes,Unknown North Coast Moche Artist,Up-close photo of repair taken in the Material/Image Research Lab (MIRL) of the vessel.,,Early Intermediate,,Ceramic Vessel,"Moche,Ceramics",,"South America, Peru, North Coast, Moche, “South America, Peru, North Coast, Moche,” UCSB ADA Museum Omeka, accessed June 6, 2026, http://art-collections.museum.ucsb.edu/items/show/15811.",
DSC_0163,Moche Stirrup Spout Vessel,,yes,Unknown North Coast Moche Artist,Basal view photo taken in the Material/Image Research Lab (MIRL) of the vessel.,,Early Intermediate,,Ceramic Vessel,"Moche,Ceramics",,"South America, Peru, North Coast, Moche, “South America, Peru, North Coast, Moche,” UCSB ADA Museum Omeka, accessed June 6, 2026, http://art-collections.museum.ucsb.edu/items/show/15811.",
-Stirrupspoutjar--.jpg,Stirrup spout jar-red lizards on cream slip,,,Unknown North Coast Moche Artist,Ceramic stirrup spout vessel with repeating lizard motifs and fine-line paintings.,,Early Intermediate,,Ceramic Vessel,"Moche,Ceramics",,Peabody Museum of Archaeology and Ethnolo,
Drawing.png,Scene from Rollout Drawing of Funerary Context,,,Unknown Moche artist; Rollout Drawing: D. McClelland,Drawing made of a scene from a Moche vessel roll-out depicting stirrup-spout vessels among a funerary assemblage of mythological context.,,Intermediate-Late,,Rollout Drawing from Moche Vessel,"Moche,Vessel,Art",,"Donnan, Christopher B., and Donna McClelland. 1979. ""The Burial Theme in Moche Iconography."" Studies in Pre-Columbian Art and Archaeology, no. 21: 1–46. https://www.jstor.org/stable/41263445 ",
Fineline_Vessel.jpg,Vessel (right view),,,Unknown North Coast Moche Artist,Ceramic stirrup-spout vessel from the right containing Moche fineline paintings in red.,,Early Intermediate,,Ceramic Vessel,"Moche,Ceramics",,Fowler Museum at UCLA. Museum purchase
Forming.jpg,,,,,Diagram demonstrating the formation of Moche ceramic vessels using two-part vertical molds.,,,,Drawing,Moche Ceramics,,"Adapted from Christopher B. Donnan, Ceramics of Ancient Peru (Los Angeles: Fowler Museum of Cultural History, University of California, 1993), 60."
Head.jpg,"Stirrup spout bottle, portrait head",,,Unknown North Coast Moche Artist,Photograph of a Moche ceramic made to resemble a human face with a headdress.,,Early Intermediate,,Ceramic Portrait Vessel,"Moche Ceramics ",,"Fowler Museum at UCLA. Gift of Mr. and Mrs. Herbert L. Lucas, Jr."
Moche_cultural_regions.png,Map of Moche Region,,,"Cambridge; Uceda, Santiago, Henry Gayoso, Feren Castillo, and Carlos Rengifo.",Map of the North Coast of Peru depicting the main sites where the Moche culture developed and presided over,,ca. AD 100–850,,Map,"Moche,Culture,Group",,"Uceda, Santiago, Henry Gayoso, Feren Castillo, and Carlos Rengifo. 2021. ""Climate and Social Changes: Reviewing the Equation with Data from the Huacas de Moche Archaeological Complex, Peru."" Latin American Antiquity 32 (3): 447–64.",
Spout.jpg,,,,,Technical illustration showing the stage-by-stage formation of a hollow clay stirrup spout prior to vessel assembly.,,,,Drawing,Moche Ceramics,,"Adapted from Christopher B. Donnan, Ceramics of Ancient Peru (Los Angeles: Fowler Museum of Cultural History, University of California, 1993), 61."
Spoutattach.jpg,,,,,Diagram illustrating the method of piercing the chamber walls to attach the stirrup spout to the vessel body.,,,,Drawing,Moche Ceramics,,"Adapted from Christopher B. Donnan, Ceramics of Ancient Peru (Los Angeles: Fowler Museum of Cultural History, University of California, 1993), 62."
